MonthYear,Ticker,Daily_Return
Dec-2023,HDFCLIFE,-13.824411777192713
Dec-2023,HEROMOTOCO,0.22227605973320042
Dec-2023,HINDALCO,8.645415672158697
Dec-2023,HINDUNILVR,2.2372656380738873
Dec-2023,ICICIBANK,3.3458889970453427
Dec-2023,INDUSINDBK,1.5066528054769182
Dec-2023,INFY,7.0646833385087024
Dec-2023,ITC,-0.5315623436626573
Dec-2023,JSWSTEEL,6.22345608863418
Dec-2023,KOTAKBANK,3.355784977301347
Dec-2023,LT,6.631983867339103
Dec-2023,M&M,-2.27054099121528
Dec-2023,MARUTI,-9.499083961355282
Dec-2023,NESTLEIND,3.256512946891161
Dec-2023,NTPC,4.823773998836679
Dec-2023,ONGC,-3.8873876561699365
Dec-2023,POWERGRID,7.157608897868735
Dec-2023,RELIANCE,1.0740125832470764
Dec-2023,SBILIFE,-5.3045165143007935
Dec-2023,SBIN,6.411989145740584
Dec-2023,SHRIRAMFIN,-5.4052355994965335
Dec-2023,SUNPHARMA,-1.4859327566283496
Dec-2023,TATACONSUM,5.703519783363319
Dec-2023,TATAMOTORS,2.5044252332820878
Dec-2023,TATASTEEL,-0.08516235683055917
Dec-2023,TCS,6.3861395788694715
Dec-2023,TECHM,-2.7472246465227084
Dec-2023,TITAN,1.3229695554914014
Dec-2023,TRENT,0.8844480213610942
Dec-2023,ULTRACEMCO,8.645903733641376
Dec-2023,WIPRO,11.475434070558405
Feb-2024,ADANIENT,-3.093829710742232
Feb-2024,ADANIPORTS,1.5000997285891653
Feb-2024,APOLLOHOSP,-7.316584852620535
Feb-2024,ASIANPAINT,-4.310095028979216
Feb-2024,AXISBANK,-0.6695268295938293
Feb-2024,BAJAJ-AUTO,0.7436905033613213
Feb-2024,BAJAJFINSV,-8.82397525539521
Feb-2024,BAJFINANCE,-9.154548351182672
Feb-2024,BEL,-0.627556784857564
Feb-2024,BHARTIARTL,-6.074574439331846
Feb-2024,BPCL,9.291276471102819
Feb-2024,BRITANNIA,-7.647259584959187
Feb-2024,CIPLA,2.46551799853359
Feb-2024,COALINDIA,-6.890078883600453
Feb-2024,DRREDDY,3.9171321056122483
Feb-2024,EICHERMOT,-4.969137722089983
Feb-2024,GRASIM,-5.874409222733901
Feb-2024,HCLTECH,2.2651979265203037
Feb-2024,HDFCBANK,-2.134744034675618
Feb-2024,HDFCLIFE,2.21729867347289
Feb-2024,HEROMOTOCO,-7.783739920694561
Feb-2024,HINDALCO,-18.466640242522843
Feb-2024,HINDUNILVR,-5.041830578350505
Feb-2024,ICICIBANK,-0.44159162608795866
Feb-2024,INDUSINDBK,-10.20821002928657
